,date,cases
290,2016-06-09,1
291,2016-06-20,1
292,2016-06-21,1
293,2016-08-09,1
294,2016-08-11,1
295,2016-08-12,1
296,2016-09-07,2
297,2016-09-16,1
298,2016-09-19,3
299,2016-09-20,1
300,2016-09-21,1
301,2016-09-22,1
302,2016-09-23,3
303,2016-09-27,2
304,2016-09-28,3
305,2016-10-14,2
306,2016-10-17,3
307,2016-10-18,1
308,2016-10-19,2
309,2016-10-20,3
310,2016-10-21,3
311,2016-10-24,2
312,2016-10-25,4
313,2016-10-26,6
314,2016-10-27,4
315,2016-11-02,1
316,2016-11-03,1
317,2016-11-04,1
318,2016-11-07,2
319,2016-11-08,1
320,2016-11-09,2
321,2016-11-10,1
322,2016-11-11,1
323,2016-11-14,4
324,2016-11-15,3
325,2016-11-17,2
326,2016-11-18,1
327,2016-11-21,1
328,2016-11-28,5
329,2016-11-29,5
330,2016-11-30,4
331,2016-12-01,4
332,2016-12-02,2
333,2016-12-05,4
334,2016-12-06,3
335,2016-12-07,2
336,2016-12-08,5
337,2016-12-09,1
338,2016-12-12,1
339,2016-12-13,6
340,2016-12-14,8
341,2016-12-15,5
342,2016-12-16,3
343,2016-12-19,5
344,2016-12-20,6
345,2016-12-21,6
346,2016-12-22,4
347,2017-01-04,1
348,2017-01-09,2
349,2017-01-10,2
350,2017-01-11,2
351,2017-01-12,4
352,2017-01-13,2
353,2017-01-16,1
354,2017-01-18,1
355,2017-01-19,4
356,2017-01-23,2
357,2017-01-24,2
358,2017-01-25,2
359,2017-01-26,1
360,2017-01-27,4
361,2017-01-30,4
362,2017-01-31,6
363,2017-02-02,6
364,2017-02-03,4
365,2017-02-06,4
366,2017-02-07,3
367,2017-02-08,3
368,2017-02-09,1
369,2017-02-10,6
370,2017-02-13,4
371,2017-02-14,5
372,2017-02-15,4
373,2017-02-16,3
374,2017-02-20,4
375,2017-02-21,6
376,2017-02-22,6
377,2017-02-23,4
378,2017-02-24,4
379,2017-02-27,2
380,2017-02-28,2
381,2017-03-01,1
382,2017-03-02,2
383,2017-03-03,4
384,2017-03-06,5
385,2017-03-07,6
386,2017-03-09,5
387,2017-03-10,4
388,2017-03-13,3
389,2017-03-14,8
390,2017-03-15,5
391,2017-03-16,1
392,2017-03-17,1
393,2017-03-20,4
394,2017-03-21,2
395,2017-03-23,3
396,2017-03-24,2
397,2017-03-25,1
398,2017-03-27,1
399,2017-03-28,1
400,2017-03-30,3
401,2017-03-31,1
402,2017-04-03,1
403,2017-04-04,1
404,2017-04-10,1
405,2017-04-19,1
406,2017-04-25,3
407,2017-04-26,1
408,2017-05-01,1
409,2017-05-04,1
410,2017-05-09,3
411,2017-05-12,1
412,2017-05-15,2
413,2017-05-16,1
414,2017-05-30,2
415,2017-05-31,1
416,2017-06-01,2
417,2017-06-02,1
418,2017-06-07,1
419,2017-06-09,1
420,2017-06-12,1
421,2017-06-14,1
422,2017-06-26,1
423,2017-06-27,1
424,2017-06-29,1
425,2017-07-10,1
426,2017-07-17,3
427,2017-07-18,2
428,2017-07-19,2
429,2017-07-20,1
430,2017-07-21,1
431,2017-07-24,4
432,2017-07-28,1
433,2017-07-31,4
434,2017-08-03,1
435,2017-08-08,2
436,2017-08-10,1
437,2017-08-14,1
438,2017-08-15,1
439,2017-08-24,1
440,2017-08-25,1
441,2017-09-07,1
442,2017-09-11,2
443,2017-09-12,3
444,2017-09-13,1
445,2017-09-14,1
446,2017-09-19,2
447,2017-09-20,4
448,2017-09-21,6
449,2017-09-25,2
450,2017-09-26,2
451,2017-09-27,1
452,2017-09-28,1
453,2017-09-29,2
454,2017-10-02,3
455,2017-10-03,2
456,2017-10-04,2
457,2017-10-05,3
458,2017-10-10,1
459,2017-10-12,5
460,2017-10-16,1
461,2017-10-17,2
462,2017-10-18,1
463,2017-10-23,1
464,2017-10-24,1
465,2017-10-25,1
466,2017-10-27,1
467,2017-10-30,4
468,2017-10-31,4
469,2017-11-01,1
470,2017-11-02,2
471,2017-11-03,1
472,2017-11-06,4
473,2017-11-07,4
474,2017-11-08,1
475,2017-11-09,2
476,2017-11-10,2
477,2017-11-13,4
478,2017-11-14,2
479,2017-11-17,1
480,2017-11-20,1
481,2017-11-21,1
482,2017-11-27,6
483,2017-11-28,2
484,2017-11-29,1
485,2017-12-01,1
486,2017-12-04,7
487,2017-12-05,2
488,2017-12-06,3
489,2017-12-07,2
490,2017-12-08,4
491,2017-12-11,8
492,2017-12-12,7
493,2017-12-13,4
